c  DAYS-w instance, from daysall.net file
c  Vertices in file daysall-vertices0.dat
c  Edges in file daysall-edges0.dat
c  
p edges  13308      9318
e      5  8444     1
e      5  8996     1
e     29  3020     1
e     29  8809     1
e     29 12575     1
e     30  9530     1
e     30 12575     1
e     33   627     1
e     33 12122     3
e     33 12301     3
e     33 13148     2
e     34  1200     7
e     34  2278     3
e     34  2648     2
e     34  6870     6
e     34  7220     1
e     34  7400     1
e     34  8996     5
e     34 11065     3
e     34 12084     1
e     34 12122    83
e     34 12261     3
e     34 12301    64
e     34 13148    32
e     56   115     1
e     64  8897     1
e     64  8996     4
e     64 12103     5
e     75  3292     2
e     75 10409     1
e     76  7220     3
e     76 11038     1
e     94  3248     1
e     94  9375     1
e     94 12301     1
e     97  1149     1
e     97  5966     1
e     97  6649     1
e     97  6894     1
e    100   425     1
e    100   900     1
e    100  2135     1
e    100  3252     1
e    105  1200     1
e    105  1792     1
e    105  2182     1
e    105 10530     1
e    107  1728     1
e    107  4040     2
e    107  6656     1
e    107  7627     1
e    107  9791     1
e    107 12483     2
e    115  3049     1
e    131  5695     1
e    131 10421     1
e    136  5322     2
e    136  8079     2
e    136  8809     1
e    141  6927     2
e    141  7874     2
e    142  8996     4
e    142 12103     4
e    148 12122     1
e    180  1289     1
e    180  1708     1
e    180  2341     1
e    180  8550     1
e    180  9385     1
e    180 10106     1
e    180 10860     1
e    180 11436     1
e    181  1289     1
e    181  1708     1
e    181  2341     1
e    181  9385     1
e    181 10106     1
e    181 10860     1
e    181 11436     1
e    187  5378     1
e    187  8809     1
e    187  9912     1
e    200  2001    14
e    200  8193     6
e    228  1602     1
e    228  3904     1
e    228  5720     1
e    228  9211     1
e    228 11823     1
e    246   632     1
e    246  3846     1
e    246  7201     1
e    246  8996     1
e    246 12910     1
e    267 10064     1
e    267 11586     1
e    267 12038     1
e    267 12810     1
e    270  2501     5
e    270  3395     1
e    270  7745     9
e    270  8996     8
e    274  1012     1
e    274  3745     1
e    306  8996     1
e    306 12123     1
e    317  8996     1
e    317 12103     1
e    319  4837     3
e    319 11372     3
e    319 12074     3
e    319 13083     3
e    331  2116     2
e    331  3180     1
e    331  4071     1
e    331  4498     2
e    331 12910     1
e    340   627     1
e    340  2121     1
e    340  2320     1
e    340  3083     5
e    340  3945    32
e    340  5142     4
e    340  5802     3
e    340  5829     3
e    340  6053     1
e    340  7133     4
e    340  7787     5
e    340  8245     2
e    340  8618     1
e    340  9158     7
e    340 10328     2
e    340 10613     2
e    340 12122     8
e    340 12931     1
e    345   826     1
e    345  1758     1
e    345  7157     1
e    345  9878     1
e    353   419     2
e    353  1665     1
e    353 11862    18
e    355   475     1
e    355  8673     1
e    355 11864     5
e    355 12084     1
e    370  5354     6
e    370  8088     5
e    370 11248     9
e    373  8025    29
e    373  8049     1
e    376  1200     1
e    376  6521    12
e    376  6723    14
e    383 12122     1
e    383 12389     1
e    394  7077     1
e    394  9385     1
e    402   908     3
e    402  2121     3
e    402  5315     1
e    402 10091     2
e    402 11862     9
e    402 11864     2
e    404  2279     5
e    417  1028    10
e    417  1665    12
e    417  4958     5
e    417  6531    10
e    417  6841     2
e    417  9814     1
e    417 10260     1
e    417 12910     3
e    419  1343     2
e    419  8146     1
e    419  8435     3
e    419  9170     2
e    419 10982     1
e    425   900     1
e    425  2135     1
e    425  3252     1
e    425  8950     4
e    426  5030     4
e    426  8529     5
e    454  3349     3
e    454  7207     3
e    454  8863     3
e    455  4613     2
e    455  8992     2
e    455  9387     2
e    455  9894     2
e    455 10266     2
e    455 11065     5
e    455 12261     2
e    458  1200    27
e    458  1343     5
e    458  1936     2
e    458  3035    13
e    458  3376     1
e    458  3464    12
e    458  4740     5
e    458  4808     2
e    458  5491     2
e    458  5562     1
e    458  6131     2
e    458  6243     1
e    458  6923     1
e    458  7206     1
e    458  7502     2
e    458  8060     2
e    458  8245     2
e    458  8809     1
e    458  9375    23
e    458  9404     5
e    458 10027     2
e    458 10797     2
e    458 11346     5
e    458 11896     7
e    458 11900    36
e    458 11901    56
e    458 11904    80
e    458 11962     1
e    458 12483    17
e    458 12875    66
e    458 13210     1
e    459  1200    15
e    459  2977     1
e    459  3316     5
e    459  4763     6
e    459  5865     1
e    459  6281     1
e    459  7650     1
e    459  7740   180
e    459  8150     3
e    459 10545     1
e    459 11223     2
e    459 11757    10
e    459 11904    15
e    459 11927     1
e    459 12150     2
e    459 12649     1
e    464  4383     1
e    464 13266     1
e    469  8916     1
e    469 12122     1
e    475  4024     1
e    475  4624     1
e    475  5146     1
e    475  6994     1
e    475 11901     4
e    475 12149     1
e    479  2829     5
e    479  4309     1
e    479  8146    18
e    479  8159     1
e    479  8291     6
