c  DAYS-w instance, from daysall.net file
c  Vertices in file daysall-vertices0.dat
c  Edges in file daysall-edges0.dat
c  
p edges  13308     62137
e      3  4709     8
e      3 13148     8
e      5  8444     1
e      5  8996     1
e      9   905     1
e      9  8999     1
e      9  9775     1
e     17   549     4
e     17  5953     2
e     17  6278     2
e     17  8500     5
e     18  6537     1
e     18  7814     1
e     18 10443     1
e     19  1420     1
e     19  8692     1
e     20   294     1
e     20  1420     1
e     20  8999     1
e     20  9983     1
e     25   557     1
e     25   631     2
e     25  1200    30
e     25  4423     1
e     25  4699     1
e     25  5684     3
e     25  8245     1
e     25  9021     1
e     25 10703    35
e     25 11478     4
e     25 12064     1
e     25 12230     1
e     25 12844    13
e     25 12963     1
e     25 13148     3
e     29  3020     1
e     29  8809     1
e     29 12575     1
e     30  9530     1
e     30 12575     1
e     31 10130     1
e     31 12814     1
e     31 13170     1
e     32  9341     1
e     32 11312     1
e     32 12122     1
e     32 12301     1
e     32 13148     1
e     33   627     1
e     33  8245     1
e     33 12122     3
e     33 12301     3
e     33 13148     2
e     34   195     2
e     34   485     1
e     34   525     2
e     34   619     2
e     34   627     5
e     34  1150     2
e     34  1200     7
e     34  1657     2
e     34  2002     5
e     34  2278     3
e     34  2648     2
e     34  3297     2
e     34  3467     1
e     34  3497     2
e     34  4290     2
e     34  4375     2
e     34  4426     2
e     34  4633     2
e     34  4709     4
e     34  6464     1
e     34  6870     6
e     34  7220     1
e     34  7392     2
e     34  7400     1
e     34  8245     6
e     34  8394     1
e     34  8996     5
e     34  9158     2
e     34  9896     2
e     34  9978     4
e     34 10308     4
e     34 10321     2
e     34 10603     2
e     34 10607     2
e     34 10996     2
e     34 11018     9
e     34 11065     3
e     34 11269     1
e     34 11494     7
e     34 12074     1
e     34 12084     1
e     34 12122    83
e     34 12261     3
e     34 12301    64
e     34 12304     1
e     34 12305     2
e     34 12306     4
e     34 13133     1
e     34 13148    32
e     34 13175     2
e     37  4248     1
