c  Weighted graph: number of common reactions
c  among pairs of reactants/products.
c  It counts all reactions where metabolites
c  comes, no matter the side.
c  Threshold =   1, for edges admission
c  nodes n =      991    #(real nodes) =      991
c  edges m =     4161
c
p edges    991      4161
e      1     7     2
e      1     9     2
e      1   145     2
e      1   156     1
e      1   164     1
e      1   165     1
e      1   199     2
e      1   233     2
e      1   420     1
e      1   711     2
e      1   878     4
e      2   146     2
e      2   157     1
e      2   200     2
e      2   234     2
e      2   421     1
e      2   583     1
e      2   671     1
e      2   712     2
e      2   879     2
e      3   288     1
e      3   506     1
e      3   649     1
e      4   215     1
e      4   967     1
e      4   969     1
e      5   855     1
e      5   965     1
e      5   966     1
e      6     8     2
e      6   199     2
e      6   223     2
e      6   233     2
e      6   288     2
e      6   541     2
e      6   711     2
e      7     8     2
e      7     9     2
e      7   330     1
e      7   425     2
e      7   555     1
e      7   558     1
e      7   648     1
e      7   878     2
e      8   199     2
e      8   233     2
e      8   425     2
e      8   541     2
e      8   711     2
e      9   502     2
e      9   878     2
e     10   338     2
e     10   642     2
e     11   139     1
e     11   149     1
e     11   288     1
e     11   346     1
e     11   548     1
e     11   607     1
e     11   777     1
e     12   216     1
e     12   642     1
e     12   711     1
e     13    15     2
e     13    17     2
e     13   199     2
e     13   233     2
e     13   274     1
e     13   286     1
e     13   311     2
e     13   508     1
e     13   509     1
e     13   510     2
e     13   511     1
e     13   625     1
e     13   626     1
e     13   642     1
e     13   731     1
e     13   775     2
e     14    15     2
e     14   199     1
e     14   233     1
e     14   775     1
e     15   199     2
e     15   233     2
e     15   775     2
e     16    17     2
e     16   199     1
e     16   233     1
e     16   350     1
e     16   364     1
e     16   775     1
e     17   199     2
e     17   233     2
e     17   775     2
e     18   511     1
e     18   731     1
e     19   121     2
e     20    21     1
e     20   831     1
e     20   833     1
e     21   831     1
e     21   833     1
e     22   152     1
e     22   420     1
e     22   469     1
e     22   672     1
e     22   775     1
e     23    54     1
e     23   289     1
e     23   665     1
e     23   666     1
e     23   778     1
e     23   780     1
e     24    25     2
e     25   289     1
e     25   665     1
e     25   666     1
e     25   778     1
e     25   783     1
e     26    32     1
e     26    72     1
e     26   288     1
e     26   724     1
e     27    28     1
e     27    29     1
e     27   355     1
e     27   460     1
e     27   711     2
e     28   355     1
e     28   420     1
e     28   469     1
e     28   711     1
e     28   775     1
e     29    30     1
e     29   130     1
e     29   224     1
e     29   233     1
e     29   356     1
e     29   460     1
e     30   130     1
e     30   224     1
e     30   233     1
e     30   356     1
e     30   775     1
e     31    32     1
e     31    51     1
e     31   659     1
e     31   660     1
e     31   663     1
e     31   664     1
e     31   672     1
e     32   288     1
e     32   659     1
e     32   660     1
e     33    68     1
e     33   332     1
e     33   711     2
e     33   748     1
e     34   147     1
e     34   663     1
e     34   664     1
e     34   781     1
e     34   818     1
e     34   878     1
e     35   665     1
e     35   666     1
